posttyp;periodtyp;år;månad;datum;besöksmål;besökstyp;vuxen;barn;student;pensionär;medlem;rabatt;fri_vuxen;skola;skola_barn;konferens;grupp;total;belopp;intäktstyp;kommun;skolnivå;gruppkategori;betalkategori;betald;dagsrapport;notering
skolbesök;månad;2023;Mar;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Apr;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Maj;;kulturenilund;vbesok;;;;;;;;59;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Maj;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2023;Jun;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2023;Jun;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Jun;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2023;Jul;;kulturenilund;vbesok;;;;;;;;57;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Aug;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2023;Aug;;kulturenilund;vbesok;;;;;;;;70;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Aug;;kulturenilund;vbesok;;;;;;;;23;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2023;Sep;;kulturenilund;vbesok;;;;;;;;86;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Okt;;kulturenilund;vbesok;;;;;;;;30;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Nov;;kulturenilund;vbesok;;;;;;;;56;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Dec;;kulturenilund;vbesok;;;;;;;;31;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Dec;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Jan;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Feb;;kulturenilund;vbesok;;;;;;;;16;ja;;;;;;Kristianstad;Förskola;;nej;;;
skolbesök;månad;2024;Feb;;kulturenilund;vbesok;;;;;;;;53;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Feb;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Mar;;kulturenilund;vbesok;;;;;;;;34;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Mar;;kulturenilund;vbesok;;;;;;;;39;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Apr;;kulturenilund;vbesok;;;;;;;;163;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Apr;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;14;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;40;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;25;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;209;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;8;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2024;Maj;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Trelleborg;Förskola;;nej;;;
skolbesök;månad;2024;Jun;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Jun;;kulturenilund;vbesok;;;;;;;;45;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Jun;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2024;Jul;;kulturenilund;vbesok;;;;;;;;16;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2024;Jul;;kulturenilund;vbesok;;;;;;;;87;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Aug;;kulturenilund;vbesok;;;;;;;;115;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Sep;;kulturenilund;vbesok;;;;;;;;129;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Sep;;kulturenilund;vbesok;;;;;;;;23;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2024;Okt;;kulturenilund;vbesok;;;;;;;;94;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Okt;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Osby;Förskola;;nej;;;
skolbesök;månad;2024;Nov;;kulturenilund;vbesok;;;;;;;;24;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2024;Nov;;kulturenilund;vbesok;;;;;;;;52;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2024;Nov;;kulturenilund;vbesok;;;;;;;;40;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2024;Dec;;kulturenilund;vbesok;;;;;;;;60;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Jan;;kulturenilund;vbesok;;;;;;;;76;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Feb;;kulturenilund;vbesok;;;;;;;;27;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Feb;;kulturenilund;vbesok;;;;;;;;23;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Mar;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Höör;Förskola;;nej;;;
skolbesök;månad;2025;Mar;;kulturenilund;vbesok;;;;;;;;82;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Mar;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Mar;;kulturenilund;vbesok;;;;;;;;55;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2025;Apr;;kulturenilund;vbesok;;;;;;;;124;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Apr;;kulturenilund;vbesok;;;;;;;;13;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Apr;;kulturenilund;vbesok;;;;;;;;18;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;14;ja;;;;;;Eslöv;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;17;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;25;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;123;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;83;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;17;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2025;Maj;;kulturenilund;vbesok;;;;;;;;17;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2025;Jun;;kulturenilund;vbesok;;;;;;;;89;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Jun;;kulturenilund;vbesok;;;;;;;;8;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Jun;;kulturenilund;vbesok;;;;;;;;30;ja;;;;;;Trelleborg;Förskola;;nej;;;
skolbesök;månad;2025;Jul;;kulturenilund;vbesok;;;;;;;;44;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Aug;;kulturenilund;vbesok;;;;;;;;73;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Aug;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Sep;;kulturenilund;vbesok;;;;;;;;57;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Sep;;kulturenilund;vbesok;;;;;;;;39;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Okt;;kulturenilund;vbesok;;;;;;;;33;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Okt;;kulturenilund;vbesok;;;;;;;;41;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2025;Nov;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Helsingborg;Förskola;;nej;;;
skolbesök;månad;2025;Nov;;kulturenilund;vbesok;;;;;;;;18;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2025;Nov;;kulturenilund;vbesok;;;;;;;;72;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Dec;;kulturenilund;vbesok;;;;;;;;30;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2025;Dec;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2026;Jan;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2026;Feb;;kulturenilund;vbesok;;;;;;;;81;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2026;Mar;;kulturenilund;vbesok;;;;;;;;25;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2026;Mar;;kulturenilund;vbesok;;;;;;;;205;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2026;Mar;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2026;Apr;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Helsingborg;Förskola;;nej;;;
skolbesök;månad;2026;Apr;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2026;Apr;;kulturenilund;vbesok;;;;;;;;164;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2026;Apr;;kulturenilund;vbesok;;;;;;;;45;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2026;Apr;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2018;Nov;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Hörby;Förskoleklass;;nej;;;
