datum;dagsrapport
2026-04-04;Två påskvisningar idag, en med Ola och en med Jessica, båda var fullbokade med 20 platser vardera. Även fullbokat till prova-på i smedjan med Robin. Påskpyssel med Juni lockade 52 barn och 52 vuxna. 7 nya medlemmar idag.
2026-04-03;Regnig fredag på Kulturen! Ola höll två stycken påskvisningar under dagen, båda tillfällena var fullbokade 20 pers per tillfälle. I verkstaden var det påsklovspyssel där 94 barn och 83 vuxna deltog. En grupp studenter från Holland gick på museet själva under förmiddagen, de var 22 st.
2026-04-02;Skärtorsdagsfirande idag med såpbubbelsblåsning, ansiktsmålning, sång- och dans samt lekar och påskvisningar! Påskpyssel med 102 barn och 72 vuxna. Nordenstedtska seminariets föredrag med Miriam Andersen och Anna Rynefors "Skånska spelkvinnor", det kom 40 pers. Smideskurs i smedjan för 6 pers. 10 nya medlemmar. 
2026-04-01;Idag var Vegalyckans anpassade grundskola här, åk 1-3, med 5 barn och 4 vuxna. De lekte på lekplatsen och i Madickenutställningen. Även Östervångskolans fritids lekte i Madickenutställningen de var 4 vuxna och 6 barn.  Lärcentrum Malmö besökte museet på egen hand. Under dagen hade vi 3 påskvisningar, Yvonne höll en för 19 pers, Kristina en för 18 pers och Annika en för 20 pers. Olle höll även en visning om hur barn levde förr. På den visningen kom det x pers. På påskpysslet kom det 56 barn och 40 v På kvällen var det dags för smartsmide i smedjan.
2026-03-31;Första påsklovsdagen idag! 3 påskvisningar på programmet, en med Annika för 20 pers, en med Kristina för 23 pers och en med Yvonne för 10 pers. Kulparksskolan kom 25 barn och 2 lärare för att gå på Ida Ekelund och fika i Arkitekternas hus. Vårfruskolan kom 5 barn och 1 lärare för att också vara med på pysslet och sen besöka museet. Påskpysslet i Verkstan drog totalt 71 barn och 39 vuxna varav största delen kom från skolbokningarna ovan. Dagen avslutades med smideskurs för 6 pers. 10 nya medlemmar idag!
2026-03-30;En hel del besökare idag, många barn med mor- eller farföräldrar. Till påskvisningarna kom 12, 11 på de första två, den sista var fullbokad, 20 personer. På eftermiddagen var det dags för påskpyssel, 49 barn och 38 vuxna. Många utländska besökare och en del som kom för att titta på Dioramat.
2026-03-29;Söndag på Kulturen! Siri höll dagens pyssel där 53 barn och 44 vuxna deltog. Ola höll dagens påskvisning där 20 biljetter var sålda. Under eftermiddagen var det svartsmide i smedjan, 6 pers. Idag fick vi 8 nya medlemmar!
2026-03-28;Full rulle idag med invigningar och påsklov! Dagen började med ett föredrag i auditoriet klockan 11. På Karins visning kl 12.30 kom det 9 personer, den klockan 13.30 kom det 2 personer. Pers visning 13.00 kom det x personer, den kl 14 kom det x. Drop-in pyssel med påsktema med 40 vuxna och 56 barn. Smedjan hade sitt populära prova på, det var fullbokat hela dagen. 
2026-03-27;Islk hade skapande skola med Yvonne och Olle, de var 26 barn och 3 vuxna. Genarp skolan hade också skapande skola, de var 28 barn och 2 lärare. En grupp från Stiftelsen Bilingual School of Lund besökte lekutställningen, de var 7 barn och 2 vuxna. Under kvällen var det invigning av Lützen-dioramat och tavelgången där utöver personal ca 45 st inbjudna/guldmedlemmar deltog!
2026-03-26;Aja hade två grupper studenter från Alnarp ute i trädgården under förmiddagen, de var totalt ca 50 st. Morgonens Skapande Skola-visning med Olle och Yvonne var för Flygelskolan som idag var 24 elever och 3 lärare. Andra gruppen för Skapande Skola var Genarpsskolan som var 23 elever och 4 lärare. Vid öppning var Svenhögs förskola på plats för att leka i Madicken, de var idag 21 barn och 3 lärare. Komvux kom med en grupp om 25 st för att gå själva ute på området. Stapelbäddsskolans ÅK3 var idag 5 st klasser som uppdelade gick själva runt på området, de var totalt 110 st. Monica visade friluftsmuseet för en blandad grupp av svenska och tyska gymnasieelever, de var 20 elever och 4 lärare. Invigning för Spykens utställning i Lundalabbet under kvällen, runt 140 gäster. Lunds universitet, den medicinska fakulteten hade bokat Hornbergssalen för mingel, 40 personer. Emma gav även en introduktion av "En annan värld" som lockade 6 personer.
2026-03-25;Grå och regnig dag på Kulturen. Morgonens Skapande Skola-visningar hölls av Annika och Kristina för Backaskolan, de var 17 elever och 2 lärare. Andra klassen från Backaskolan fick visningen av Emma och Kristina, de var 19 elever och 3 lärare. Holkens förskola lekte på Madicken under morgonen, de var 21 barn och 4 lärare. Vid öppning gav Olle en visning av friluftsmuseet för en klass från Polhemsskolan GY1 som läser historia, de var totalt 12 st. Grynmalarens F-klass gick själva på området och var idag 17 barn och 3 lärare. Neptunigymnasium kom på ett spontanbesök då de tyckte vädret var för tråkigt för en stadsvandring, de var 20 elever och 2 lärare. Efter lunch kom Gymnasieskolan Spyken med sina humanistelever för att gå i Modernismen, de var 18 elever och 1 lärare. Onsdagsvisningen var denna veckan med Gunilla i Dekanhuset , till det kom 6 personer. Klockan 14 kom måltidsgillet hit för att gå en egen visning i Modernismen, de var 29 st. Under kvällen var det svartsmide i Smedjan.
2026-03-24;Full rulle idag med 10 grupper på besök. Flygelskolan åk 3 kom 24 barn och 3 lärare för visning "Hur levde barnen förr och hur lever du?". Tomegårdens Montessoriförskola kom 9 barn och 3 vuxna för att leka på Madicken. Östratornsskolan kom 24 elever och 3 lärare för att få Häcken Full - visning med Olle. Lingua Montessori Förskola kom 19 barn och 2 lärare för att besöka Madicken. International School of Lund åk 3 kom 19 pers för att gå själva. Komvux kom 6 pers för att gå själva på Sapmi. Lunds måltidsgille höll egen visning i Modernismen för 22 pers av sina medlemmar. Sen kom det ytterligare två grupper som inte hade bokat; Lingua Montessori Förskola 18 barn och 4 elever och Dagsverksamhet från Svedala kommun. Dagen avslutades med smideskurs för 6 pers. 
2026-03-22;En härlig dag med två visningar och en vårkännings-föreläsning på programmet. Jessica gav först en introduktion till friluftsmuseet för 4 pers och Ola en visning av Borgarhuset på eftermiddagen för 4 vuxna och 1 barn. Mycket uppskattad föreläsning av Marika Delin i samband med trädgårdssällskapet; Vårkänning - en naturnära trädgård och vildare rosor, runt 50 personer fanns i publiken. Skattjaktskalas med Sara för 12 pers. Vi har också fått 5 nya medlemmar!
2026-03-21;En strålande fin dag. Två visningar på programmet idag. Ola visade Modernismen för 13 personer. Och Jessica visade Metropolis för 5 personer. Drop-in pyssel i verkstaden med Siri, 15 barn och 13 vuxna. 10 nya medlemmar idag. 10 nya medlemmar idag.
2026-03-20;Stiftelsen Bilingual Montessori School of Lunds förskola var på lekutställningen och åt sin matsäck på området, de var 8 barn och 2 vuxna. Örtagårdsskolan anpassad grundskola gick själva på museet med två olika klasser, de var totalt 15 elever och 6 lärare.
2026-03-19;Skapande Skola-visningar med Yvonne och Olle under morgonen för två klasser från Prästängsskolans ÅK3, totalt 57 elever och 7 lärare. Lunds International Schools ÅK2 fick en specialvisning av Friluftsmuseet med Ola och gick sedan själva på området, de var totalt 28 st. Efter det höll Ola en till engelsk visning av Friluftsmuseet för Malmö Borgarskola som hade spanska elever på besök, de var totalt 21 st. Carita hade bokat Verkstaden och fika från kaféet till en grupp för BEVIS, de var 30 st. Lunds dans- och musikalgymnasium hade konsert i auditoriet under kvällen, i publiken satt ca: 67 personer. Ola hade en sista visning för dagen som var en visning om ljus och mörker på museet men där uteblev tyvärr besökarna. Slöjdkafé med Kristina i verkstaden, 9 antal. Även smideskurs i smedjan, 6 st.
