år;månad;kommun;skolnivå;skolkategori;antal
2019;Jul;Malmö;Årskurs 2;skola-barn;22
2019;Jul;Staffanstorp;Årskurs 2;skola-barn;28
2019;Jul;Lund;Årskurs 3;skola-barn;2
2019;Jul;Hörby;Årskurs 8;skola-barn;24
2019;Jul;Burlöv;Vuxenutbildning;skola-vuxen;11
2019;Jul;Lund;Vuxenutbildning;skola-vuxen;116
2019;Jul;Malmö;Vuxenutbildning;skola-vuxen;52
2019;Jul;Vellinge;Vuxenutbildning;skola-vuxen;7
2019;Aug;Lund;Förskola;skola-barn;32
2019;Aug;Malmö;Förskola;skola-barn;31
2019;Aug;Staffanstorp;Förskola;skola-barn;10
2019;Aug;Lund;Gymnasium;skola-barn;145
2019;Aug;Lund;Årskurs 1;skola-barn;5
2019;Aug;Lund;Årskurs 2;skola-barn;39
2019;Aug;Lomma;Årskurs 3;skola-barn;29
2019;Aug;Lund;Årskurs 3;skola-barn;11
2019;Aug;Malmö;Årskurs 3;skola-barn;4
2019;Aug;Lund;Årskurs 4;skola-barn;62
2019;Aug;Lomma;Årskurs 5;skola-barn;9
2019;Aug;Lund;Årskurs 5;skola-barn;46
2019;Aug;Malmö;Årskurs 5;skola-barn;1
2019;Aug;Lund;Årskurs 6;skola-barn;13
2019;Aug;Lund;Årskurs 7;skola-barn;36
2019;Aug;Lund;Årskurs 8;skola-barn;118
2019;Aug;Lund;Årskurs 9;skola-barn;50
2019;Aug;Simrishamn;Årskurs 9;skola-barn;24
2019;Aug;Lund;Högskola;skola-vuxen;
2019;Aug;Eslöv;Vuxenutbildning;skola-vuxen;23
2019;Aug;Lund;Vuxenutbildning;skola-vuxen;16
2019;Aug;Malmö;Vuxenutbildning;skola-vuxen;30
2019;Aug;Vellinge;Vuxenutbildning;skola-vuxen;10
2019;Aug;Övrigt;Vuxenutbildning;skola-vuxen;29
2019;Sep;Lund;Förskola;skola-barn;73
2019;Sep;Malmö;Förskola;skola-barn;44
2019;Sep;Lund;Förskoleklass;skola-barn;47
2019;Sep;Malmö;Förskoleklass;skola-barn;28
2019;Sep;Lund;Gymnasium;skola-barn;255
2019;Sep;Malmö;Gymnasium;skola-barn;16
2019;Sep;Svedala;Gymnasium;skola-barn;8
2019;Sep;Ängelholm;Gymnasium;skola-barn;20
2019;Sep;Övrigt;Gymnasium;skola-barn;62
2019;Sep;Lund;Årskurs 1;skola-barn;35
2019;Sep;Lund;Årskurs 2;skola-barn;47
2019;Sep;Lund;Årskurs 3;skola-barn;95
2019;Sep;Tomelilla;Årskurs 4;skola-barn;29
2019;Sep;Lund;Årskurs 5;skola-barn;161
2019;Sep;Svalöv;Årskurs 5;skola-barn;21
2019;Sep;Lomma;Årskurs 7;skola-barn;185
2019;Sep;Lund;Årskurs 7;skola-barn;27
2019;Sep;Lund;Årskurs 8;skola-barn;72
2019;Sep;Lund;Årskurs 9;skola-barn;79
2019;Sep;Lund;Högskola;skola-vuxen;
2019;Sep;Kristianstad;Vuxenutbildning;skola-vuxen;5
2019;Sep;Lund;Vuxenutbildning;skola-vuxen;238
2019;Sep;Malmö;Vuxenutbildning;skola-vuxen;7
2019;Sep;Skurup;Vuxenutbildning;skola-vuxen;26
2019;Okt;Lomma;Förskola;skola-barn;17
2019;Okt;Lund;Förskola;skola-barn;202
2019;Okt;Sjöbo;Förskola;skola-barn;36
