år;månad;besöksmål;typ;kategori;antal
2014;sep;kulturenilund;verksamhet;fri-vuxen;1341
2014;sep;kulturenilund;verksamhet;skola-allt;1133
2014;sep;kulturenilund;verksamhet;pensionär;488
2014;sep;kulturenilund;verksamhet;medlem;228
2014;sep;kulturenilund;verksamhet;grupp;88
2014;okt;kulturenilund;verksamhet;vuxen;772
2014;okt;kulturenilund;verksamhet;konferens;586
2014;okt;kulturenilund;verksamhet;student;233
2014;okt;kulturenilund;verksamhet;barn;1083
2014;okt;kulturenilund;verksamhet;rabatt;55
2014;okt;kulturenilund;verksamhet;fri-vuxen;304
2014;okt;kulturenilund;verksamhet;skola-allt;1078
2014;okt;kulturenilund;verksamhet;pensionär;518
2014;okt;kulturenilund;verksamhet;medlem;350
2014;okt;kulturenilund;verksamhet;grupp;48
2014;nov;kulturenilund;verksamhet;vuxen;6224
2014;nov;kulturenilund;verksamhet;konferens;23
2014;nov;kulturenilund;verksamhet;student;222
2014;nov;kulturenilund;verksamhet;barn;1980
2014;nov;kulturenilund;verksamhet;rabatt;31
2014;nov;kulturenilund;verksamhet;fri-vuxen;138
2014;nov;kulturenilund;verksamhet;skola-allt;1469
2014;nov;kulturenilund;verksamhet;pensionär;355
2014;nov;kulturenilund;verksamhet;medlem;276
2014;nov;kulturenilund;verksamhet;grupp;63
2014;dec;kulturenilund;verksamhet;vuxen;744
2014;dec;kulturenilund;verksamhet;konferens;195
2014;dec;kulturenilund;verksamhet;student;189
2014;dec;kulturenilund;verksamhet;barn;420
2014;dec;kulturenilund;verksamhet;rabatt;31
2014;dec;kulturenilund;verksamhet;fri-vuxen;121
2014;dec;kulturenilund;verksamhet;skola-allt;2127
2014;dec;kulturenilund;verksamhet;pensionär;186
2014;dec;kulturenilund;verksamhet;medlem;297
2014;dec;kulturenilund;verksamhet;grupp;92
2015;jan;kulturenilund;verksamhet;vuxen;473
2015;jan;kulturenilund;verksamhet;barn;347
2015;jan;kulturenilund;verksamhet;fri-vuxen;102
2015;jan;kulturenilund;verksamhet;konferens;275
2015;jan;kulturenilund;verksamhet;medlem;153
2015;jan;kulturenilund;verksamhet;pensionär;184
2015;jan;kulturenilund;verksamhet;rabatt;53
2015;jan;kulturenilund;verksamhet;student;119
2015;jan;kulturenilund;anläggning;total;4932
2015;jan;kulturensostarp;kombinerat;total;330
2015;jan;livetsmuseum;kombinerat;total;366
2015;jan;hokeriet;kombinerat;total;345
2015;jan;tegnermuseet;kombinerat;total;19
2015;jan;bosjokloster;kombinerat;total;20
2015;feb;kulturenilund;verksamhet;vuxen;1493
2015;feb;kulturenilund;verksamhet;barn;1965
2015;feb;kulturenilund;verksamhet;fri-vuxen;127
2015;feb;kulturenilund;verksamhet;konferens;410
2015;feb;kulturenilund;verksamhet;medlem;547
2015;feb;kulturenilund;verksamhet;pensionär;567
2015;feb;kulturenilund;verksamhet;rabatt;57
2015;feb;kulturenilund;verksamhet;student;232
2015;feb;kulturenilund;anläggning;total;5893
2015;feb;kulturensostarp;kombinerat;total;183
2015;feb;livetsmuseum;kombinerat;total;937
2015;feb;hokeriet;kombinerat;total;523
2015;feb;tegnermuseet;kombinerat;total;19
2015;feb;bosjokloster;kombinerat;total;20
2015;mar;kulturenilund;verksamhet;vuxen;1502
2015;mar;kulturenilund;verksamhet;barn;1662
2015;mar;kulturenilund;verksamhet;fri-vuxen;172
2015;mar;kulturenilund;verksamhet;konferens;520
2015;mar;kulturenilund;verksamhet;medlem;430
2015;mar;kulturenilund;verksamhet;pensionär;417
